,,female,male,Total
Sámi villages,Baste cearru,4.7 (3-7),1.4 (0-3),6.1 (3-9)
,Gabna,9 (7-11),3.6 (2-5),12.6 (10-15)
,Gällivare,0 (0-0),0 (0-0),0 (0-1)
,Girjas,5.7 (4-8),2.3 (1-4),8 (5-11)
,Jåhkågaska tjiellde,3.1 (1-5),1.5 (0-4),4.6 (2-8)
,Könkämä,5.3 (3-8),1.1 (1-2),6.4 (4-9)
,Laevas,8 (6-11),3.7 (2-5),11.7 (9-15)
,Lainiovuoma,3 (1-5),1.3 (1-2),4.4 (2-7)
,Luokta-Mávas,17.5 (14-21),8.3 (6-11),25.8 (21-30)
,Maskaure,4.4 (3-6),3.6 (2-5),7.9 (6-10)
,Mausjaur,1.9 (1-3),1 (1-1),2.9 (2-4)
,Östra Kikkejaure,0.8 (0-2),0 (0-0),0.8 (0-2)
,Saarivuoma,0.9 (0-3),2.1 (0-4),3 (1-6)
,Semisjaur-Njarg,24.5 (21-27),11.5 (9-14),36.1 (32-40)
,Sirges,10.2 (8-13),6.4 (4-9),16.6 (13-20)
,Slakka,0.1 (0-1),0.2 (0-1),0.3 (0-2)
,Ståkke,4.4 (4-6),5.2 (3-7),9.6 (8-12)
,Svaipa,6.8 (4-10),5.2 (4-7),12 (8-15)
,Talma,8.5 (6-11),3.2 (1-6),11.7 (8-16)
,Tuorpon,6.6 (4-9),3.8 (2-6),10.4 (7-14)
,Udtja,1.8 (1-3),1 (1-1),2.8 (2-4)
,Unna Tjerusj,7.6 (6-10),5 (3-7),12.6 (10-16)
,Västra Kikkejaure,2.8 (2-4),1 (1-2),3.8 (3-5)
,Vittangi,0 (0-0),0 (0-0),0 (0-0)
Sámi concessions,Ängeså,0 (0-0),0.2 (0-1),0.2 (0-1)
,Kalix,0 (0-0),0.7 (0-1),0.7 (0-1)
,Korju,0.8 (0-1),1 (0-1),1.7 (1-2)
,Liehittäjä,0 (0-0),0 (0-0),0 (0-1)
,Muonio,0 (0-1),0.2 (0-1),0.2 (0-1)
,Pirttijärvi,0 (0-0),0 (0-1),0 (0-1)
,Sattajärvi,0 (0-1),0 (0-0),0 (0-1)
,Tärendö,0 (0-0),0 (0-0),0 (0-0)
,"Tärendö, Ängeså",0 (0-0),0 (0-0),0 (0-0)
