"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Total","905.5 (820-997)","943.8 (881-1016)","913.1 (881-948)","948.3 (920-979)","1079.7 (1042-1121)","1115.7 (1071-1164)","1093.7 (1051-1140)","1120.1 (1075-1168)","1168.9 (1127-1214)","1040.9 (1012-1072)"
"Norway","380.8 (343-421)","384 (359-414)","355.8 (341-372)","356.6 (341-374)","411.5 (394-431)","408.9 (391-429)","370.3 (354-388)","385.8 (369-403)","393.2 (378-410)","375.8 (360-393)"
"Region 1","14.3 (8-21)","9.6 (5-15)","7.3 (4-12)","5.7 (3-10)","5.7 (2-10)","5.6 (2-10)","5.9 (2-11)","8.3 (4-13)","7.3 (3-12)","8.9 (5-14)"
"Region 2","6.4 (2-12)","4.1 (1-8)","3 (1-6)","2 (0-5)","2.4 (0-6)","2.4 (0-6)","3.8 (1-7)","3.9 (1-7)","5.1 (2-9)","9.7 (6-14)"
"Region 3","29.1 (22-37)","27.6 (23-33)","23.3 (19-28)","22.3 (18-27)","27.8 (23-33)","30.3 (26-35)","32 (27-37)","26.5 (22-32)","32.5 (29-37)","27 (23-31)"
"Region 4","1.7 (0-5)","0.9 (0-3)","0.6 (0-3)","0.4 (0-2)","0.6 (0-2)","0.9 (0-3)","0.7 (0-3)","0.6 (0-3)","0.9 (0-3)","2.1 (0-5)"
"Region 5","56.6 (47-67)","64 (57-71)","63.2 (57-70)","75.7 (69-83)","91.4 (84-99)","90.7 (84-98)","83.5 (76-91)","88.7 (82-96)","85.6 (79-93)","81.3 (74-89)"
"Region 6","73.5 (61-88)","78.6 (68-91)","80 (73-88)","89.8 (82-98)","103.2 (95-112)","89.2 (81-99)","83.4 (75-92)","99.5 (92-108)","95.3 (88-103)","76.9 (69-85)"
"Region 7","76.8 (67-87)","83.6 (76-92)","70 (64-76)","67.1 (61-73)","78 (71-85)","88.5 (81-96)","69.4 (63-76)","69.8 (64-76)","77.7 (72-84)","85.9 (80-92)"
"Region 8","122.3 (109-137)","115.6 (105-127)","108.3 (101-116)","93.6 (86-102)","102.4 (94-112)","101.3 (93-110)","91.6 (84-100)","88.4 (80-97)","88.8 (82-97)","84.1 (78-91)"
"Sweden","524.8 (466-586)","559.7 (514-610)","557.4 (530-587)","591.7 (568-616)","668.1 (637-701)","706.8 (669-748)","723.4 (686-763)","734.3 (695-775)","775.7 (739-815)","665.1 (642-690)"
"Nordre","462.1 (412-515)","496.6 (455-541)","488.8 (465-515)","509.9 (488-532)","568.6 (540-598)","600.8 (566-638)","618.5 (584-655)","618.8 (582-656)","643.5 (609-680)","553.9 (535-575)"
