"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"TOTAL","380.8 (343-421)","384 (359-414)","355.8 (341-372)","356.6 (341-374)","411.5 (394-431)","408.9 (391-429)","370.3 (354-388)","385.8 (369-403)","393.2 (378-410)","375.8 (360-393)"
"�fstfold","0.6 (0-2)","0.4 (0-2)","0.3 (0-2)","0.2 (0-1)","0.2 (0-1)","0.4 (0-2)","0.3 (0-2)","0.3 (0-2)","0.4 (0-2)","0.6 (0-3)"
"Akershus/Oslo","1.1 (0-3)","0.6 (0-2)","0.4 (0-2)","0.2 (0-1)","0.4 (0-2)","0.5 (0-2)","0.4 (0-2)","0.4 (0-2)","0.5 (0-2)","1.4 (0-4)"
"Aust-Agder","1.4 (0-4)","0.9 (0-3)","1.6 (1-3)","0.9 (0-3)","0.7 (0-3)","0.8 (0-3)","2.3 (1-4)","2.1 (1-4)","2.5 (1-5)","3.4 (2-6)"
"Buskerud","2.5 (0-6)","1.3 (0-4)","0.7 (0-3)","0.5 (0-2)","0.8 (0-3)","0.8 (0-3)","0.8 (0-3)","0.9 (0-3)","1.4 (0-4)","2.5 (1-5)"
"Finnmark","70.1 (60-81)","68.7 (61-77)","62.7 (58-68)","50.9 (45-57)","54.1 (47-61)","56.5 (52-62)","52.4 (47-58)","50.7 (45-57)","47.3 (42-53)","43 (40-47)"
"Hedmark","56.5 (47-67)","64 (57-72)","63.2 (57-70)","75.7 (69-83)","91.4 (84-99)","90.7 (84-98)","83.5 (76-91)","88.7 (82-96)","85.6 (79-93)","81.3 (74-89)"
"Hordaland","2.8 (0-7)","2.5 (1-5)","0.8 (0-3)","0.6 (0-3)","0.9 (0-3)","0.8 (0-3)","0.8 (0-3)","0.8 (0-3)","1.1 (0-4)","1.4 (0-4)"
"Møre og Romsdal","20.1 (14-27)","17.3 (12-23)","16.4 (13-21)","18.5 (15-23)","20.3 (17-24)","18.7 (15-23)","18.3 (14-23)","18.2 (15-22)","17.5 (14-22)","19.7 (16-24)"
"Nord-Trøndelag","26.3 (19-35)","31.8 (25-39)","35.3 (31-40)","37.7 (33-43)","43 (38-49)","42.6 (37-49)","40.9 (36-47)","50.4 (46-56)","49.9 (45-55)","38.8 (34-44)"
"Nordland","76.8 (67-87)","83.6 (76-92)","70 (64-76)","67.1 (61-73)","78 (71-85)","88.5 (81-96)","69.4 (63-76)","69.8 (64-76)","77.7 (72-84)","85.9 (80-92)"
"Oppland","29.2 (22-37)","27.6 (23-33)","23.3 (19-28)","22.3 (18-27)","27.9 (23-33)","30.3 (26-35)","32 (27-37)","26.6 (22-32)","32.5 (29-37)","27 (23-31)"
"Rogaland","1.9 (0-5)","1.2 (0-4)","0.9 (0-3)","1 (0-3)","0.8 (0-3)","0.9 (0-3)","1 (0-3)","1.1 (0-3)","1.4 (0-4)","1.6 (0-5)"
"Sør-Trøndelag","27.2 (20-35)","29.5 (24-36)","28.3 (23-34)","33.6 (28-40)","39.9 (34-46)","27.9 (22-35)","24.2 (19-30)","30.9 (25-37)","27.9 (23-33)","18.4 (13-24)"
"Sogn og Fjordane","8.6 (5-13)","5.3 (3-9)","5.2 (3-8)","3.8 (2-7)","3.6 (1-7)","3.4 (1-7)","3.6 (1-7)","5.9 (3-9)","4.2 (2-7)","5 (3-8)"
"Telemark","2.4 (0-6)","1.9 (0-5)","0.7 (0-3)","0.6 (0-2)","0.8 (0-3)","0.8 (0-3)","0.8 (0-3)","0.8 (0-3)","1.2 (0-4)","3.8 (2-7)"
"Troms","52.2 (45-60)","46.9 (41-54)","45.6 (41-51)","42.6 (38-48)","48.3 (43-54)","44.8 (39-51)","39.2 (34-45)","37.7 (32-44)","41.5 (37-47)","41.1 (36-47)"
"Vest-Agder","1 (0-3)","0.6 (0-2)","0.4 (0-2)","0.3 (0-2)","0.4 (0-2)","0.4 (0-2)","0.4 (0-2)","0.4 (0-2)","0.6 (0-2)","0.8 (0-3)"
"Vestfold","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)"
