"","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025"
"Total","372.4 (353-395)","412.7 (402-425)","414.2 (405-424)","374.4 (358-394)","438.9 (431-449)","452.7 (439-469)","510.2 (495-528)","485.3 (471-502)","435.2 (421-452)","374.7 (354-400)"
"Norway","76.6 (70-85)","83.4 (76-92)","96.5 (88-105)","80.2 (74-87)","87.1 (79-96)","89.5 (82-97)","91.6 (83-101)","64.5 (57-73)","60.3 (54-67)","51.9 (43-63)"
"Region 2","0.5 (0-2)","0.9 (0-3)","0.9 (0-3)","0.9 (0-2)","1.4 (0-4)","0.3 (0-2)","0.6 (0-2)","0.7 (0-3)","0.5 (0-2)","0.8 (0-3)"
"Region 3","1.1 (0-4)","1.4 (0-4)","1.8 (0-5)","1 (0-3)","2.1 (0-5)","1.4 (0-4)","2 (0-5)","2 (0-5)","0.8 (0-3)","1.7 (0-5)"
"Region 4","13.6 (11-17)","16.6 (13-20)","22.3 (18-27)","23.9 (20-28)","27.8 (23-33)","23.2 (19-28)","26.4 (22-31)","24.2 (20-28)","21.8 (18-26)","14.9 (11-19)"
"Region 5","59.8 (55-66)","62.6 (57-69)","69.5 (63-76)","52.5 (47-58)","52.9 (47-59)","63.3 (57-70)","60.2 (53-68)","36.3 (31-43)","36.8 (32-42)","32.5 (26-40)"
"Region 6","1.6 (0-5)","2 (0-5)","1.9 (0-5)","2 (1-4)","2.9 (1-6)","1.2 (0-4)","2.5 (1-5)","1.4 (0-4)","0.4 (0-2)","2 (0-6)"
"Sweden","295.9 (277-317)","329.3 (318-341)","317.7 (309-328)","294.2 (278-313)","351.8 (345-359)","363.2 (349-379)","418.5 (403-436)","420.8 (408-435)","375 (361-391)","322.8 (305-343)"
"Nordre","23.8 (17-32)","18.6 (13-25)","8.6 (4-14)","18.4 (12-26)","18.1 (14-23)","18.7 (14-25)","12.5 (7-19)","22.6 (17-29)","15.2 (10-21)","16.4 (10-25)"
"Jämtland","18.3 (12-25)","15.5 (10-21)","7.6 (4-12)","14.7 (9-21)","16.7 (12-22)","16.1 (11-21)","9.8 (5-16)","15.1 (11-20)","9.8 (6-15)","10 (4-17)"
"Västerbotten","0.1 (0-1)","0 (0-1)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)"
"Västernorrland","5.5 (2-10)","3 (1-6)","0.9 (0-3)","3.7 (1-8)","1.3 (0-4)","2.6 (0-6)","2.6 (0-6)","7.4 (5-11)","5.3 (2-9)","6.4 (4-10)"
"Midtre","256.6 (243-272)","298.2 (288-309)","288.6 (280-297)","262.5 (249-278)","312.2 (305-319)","310.7 (298-325)","357.5 (344-373)","323.9 (312-337)","282.8 (270-296)","237.3 (224-253)"
"Dalarna","75.2 (67-84)","81.3 (75-88)","62.4 (57-68)","57.3 (48-67)","70.2 (65-76)","70 (62-79)","78.9 (70-88)","59.9 (53-68)","50.3 (43-58)","36.1 (29-45)"
"Gävleborg","44.4 (38-52)","50.3 (45-56)","54.9 (50-59)","45.9 (39-53)","69.2 (65-74)","61 (56-67)","51.5 (46-57)","33.8 (29-39)","20.4 (16-26)","21.4 (17-26)"
"Örebro","24 (18-30)","37.8 (33-43)","34.8 (31-39)","35.9 (30-43)","49.8 (45-55)","47.5 (41-55)","56.9 (50-64)","53.3 (48-59)","56.5 (51-62)","49.2 (44-54)"
"Stockholm","5.5 (3-9)","3 (2-5)","4.7 (3-7)","2.6 (0-5)","3.4 (2-5)","8.4 (5-12)","7.2 (4-11)","7.9 (5-11)","3.7 (2-6)","3.4 (2-6)"
"Uppsala","6.4 (3-11)","6.8 (4-10)","9.1 (6-13)","7 (4-11)","4.9 (3-7)","8.3 (6-12)","13 (10-16)","7.6 (5-11)","10.2 (8-13)","10.3 (9-13)"
"Värmland","78 (71-85)","87.4 (80-95)","87.7 (82-94)","84.6 (76-94)","82 (77-88)","78.3 (69-88)","107 (97-117)","101.8 (94-111)","72.9 (65-81)","48.3 (41-57)"
"Västmanland","14.7 (11-20)","25.9 (23-30)","26.3 (23-30)","15.6 (11-21)","27.4 (23-32)","18.5 (14-24)","23.7 (19-29)","27.6 (24-32)","23.8 (20-28)","28 (24-32)"
"VästraGötaland","8.5 (5-13)","5.7 (2-10)","8.7 (5-13)","13.5 (9-19)","5.3 (3-9)","18.7 (14-24)","19.3 (14-25)","31.9 (27-37)","45.1 (40-51)","40.5 (36-45)"
"Södre","15.4 (8-25)","12.4 (8-18)","20.6 (18-25)","13.4 (8-20)","21.6 (18-25)","33.8 (28-41)","48.5 (42-56)","74.3 (69-80)","76.9 (71-83)","69.1 (64-75)"
"Blekinge","0.6 (0-2)","1.2 (1-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0.3 (0-2)","0.2 (0-1)"
"Halland","0.7 (0-3)","0.3 (0-2)","0.1 (0-1)","0.4 (0-2)","0.2 (0-1)","1.5 (1-3)","0.7 (0-3)","1.2 (0-3)","2.4 (1-4)","2.9 (1-5)"
"Jönköping","2.7 (1-6)","1 (0-3)","0.5 (0-2)","1.2 (0-4)","1.4 (0-3)","2.7 (1-6)","8.1 (5-12)","14 (11-17)","10.6 (7-14)","10.6 (8-14)"
"Kalmar","1.6 (0-5)","0.6 (0-2)","1.1 (0-2)","1.6 (1-3)","0.5 (0-2)","1.7 (1-4)","1.2 (0-4)","0.8 (0-3)","1.1 (0-3)","1.6 (0-4)"
"Kronoberg","2 (0-5)","1.6 (1-3)","0.5 (0-2)","0.7 (0-3)","0.8 (0-2)","1.8 (1-4)","2 (1-4)","3.3 (2-5)","5.9 (4-9)","5.6 (3-8)"
"Östergötland","2.7 (0-6)","2.6 (1-5)","3.6 (3-6)","4.1 (2-7)","10 (9-12)","8.3 (6-11)","12.2 (9-16)","10.5 (9-13)","10.7 (8-14)","8.8 (7-11)"
"Skåne","2.1 (0-5)","1.6 (1-3)","2.1 (1-3)","0.6 (0-3)","0.4 (0-2)","2.8 (2-5)","5 (4-7)","12.4 (12-14)","18.1 (16-21)","14.2 (13-16)"
"Södermanland","3 (0-7)","3.6 (2-6)","12.5 (11-15)","4.7 (2-8)","8.1 (6-10)","14.8 (11-19)","19.2 (16-23)","32.2 (29-36)","27.9 (26-31)","25.1 (23-28)"
