"","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023","2023/2024","2023/2024","2023/2024","2024/2025","2024/2025","2024/2025"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Total","159.1 (147-175)","213.4 (198-231)","372.4 (353-395)","195.5 (188-204)","217.1 (210-226)","412.7 (402-425)","207.6 (201-216)","206.6 (201-213)","414.2 (405-424)","178.4 (168-192)","196.1 (184-211)","374.4 (358-394)","209.2 (204-216)","229.7 (224-237)","438.9 (431-449)","204.4 (197-214)","248.3 (237-262)","452.7 (439-469)","237.8 (229-249)","272.3 (260-287)","510.2 (495-528)","244.6 (234-257)","240.6 (232-252)","485.3 (471-502)","220.1 (209-234)","215.2 (207-225)","435.2 (421-452)","176.2 (162-195)","198.5 (184-216)","374.7 (354-400)"
"Norway","30.5 (27-36)","46.1 (41-52)","76.6 (70-85)","43.1 (38-49)","40.3 (34-47)","83.4 (76-92)","50.9 (45-57)","45.6 (40-52)","96.5 (88-105)","33.9 (29-39)","46.3 (42-51)","80.2 (74-87)","42.3 (37-49)","44.8 (40-51)","87.1 (79-96)","35.6 (31-40)","53.9 (48-60)","89.5 (82-97)","45.4 (38-53)","46.2 (42-52)","91.6 (83-101)","37.2 (31-44)","27.2 (23-33)","64.5 (57-73)","28.1 (24-34)","32.2 (28-37)","60.3 (54-67)","26.3 (21-34)","25.7 (19-34)","51.9 (43-63)"
"Region 2","0.2 (0-1)","0.3 (0-2)","0.5 (0-2)","0.4 (0-2)","0.4 (0-2)","0.9 (0-3)","0.5 (0-2)","0.4 (0-2)","0.9 (0-3)","0.9 (0-2)","0.1 (0-1)","0.9 (0-2)","0.6 (0-2)","0.8 (0-3)","1.4 (0-4)","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)","0.2 (0-1)","0.3 (0-2)","0.6 (0-2)","0.5 (0-2)","0.1 (0-1)","0.7 (0-3)","0.3 (0-2)","0.2 (0-1)","0.5 (0-2)","0.3 (0-2)","0.5 (0-2)","0.8 (0-3)"
"Region 3","0.5 (0-2)","0.6 (0-2)","1.1 (0-4)","0.7 (0-3)","0.7 (0-3)","1.4 (0-4)","1 (0-3)","0.9 (0-3)","1.8 (0-5)","0.5 (0-2)","0.4 (0-2)","1 (0-3)","0.8 (0-3)","1.3 (0-3)","2.1 (0-5)","0.5 (0-2)","1 (0-3)","1.4 (0-4)","1 (0-3)","1 (0-3)","2 (0-5)","1.4 (0-4)","0.6 (0-3)","2 (0-5)","0.6 (0-2)","0.3 (0-2)","0.8 (0-3)","0.7 (0-3)","1.1 (0-4)","1.7 (0-5)"
"Region 4","5.5 (4-7)","8.1 (6-11)","13.6 (11-17)","8.3 (6-11)","8.3 (6-11)","16.6 (13-20)","9.6 (7-13)","12.7 (10-16)","22.3 (18-27)","9.7 (6-13)","14.2 (12-17)","23.9 (20-28)","12.8 (10-16)","15 (12-18)","27.8 (23-33)","14.4 (11-18)","8.8 (6-12)","23.2 (19-28)","11 (8-14)","15.4 (12-18)","26.4 (22-31)","12.8 (10-16)","11.4 (9-14)","24.2 (20-28)","10.5 (8-14)","11.3 (9-14)","21.8 (18-26)","6.9 (5-10)","8 (6-11)","14.9 (11-19)"
"Region 5","23.7 (21-27)","36.1 (32-41)","59.8 (55-66)","33 (29-37)","29.6 (25-35)","62.6 (57-69)","38.7 (34-44)","30.7 (27-35)","69.5 (63-76)","22.4 (19-26)","30 (26-34)","52.5 (47-58)","27.2 (24-31)","25.8 (22-30)","52.9 (47-59)","20.5 (17-24)","42.8 (38-48)","63.3 (57-70)","32.1 (26-38)","28.1 (24-33)","60.2 (53-68)","21.5 (17-27)","14.7 (12-19)","36.3 (31-43)","16.6 (14-21)","20.2 (17-24)","36.8 (32-42)","17.6 (14-23)","14.8 (10-20)","32.5 (26-40)"
"Region 6","0.7 (0-3)","0.9 (0-3)","1.6 (0-5)","0.8 (0-3)","1.2 (0-4)","2 (0-5)","1 (0-3)","0.9 (0-3)","1.9 (0-5)","0.4 (0-2)","1.6 (1-4)","2 (1-4)","0.9 (0-3)","2 (1-4)","2.9 (1-6)","0 (0-1)","1.2 (0-4)","1.2 (0-4)","1.1 (0-4)","1.4 (1-3)","2.5 (1-5)","1 (0-3)","0.4 (0-2)","1.4 (0-4)","0.2 (0-2)","0.3 (0-2)","0.4 (0-2)","0.8 (0-4)","1.3 (0-4)","2 (0-6)"
"Sweden","128.5 (117-143)","167.3 (153-184)","295.9 (277-317)","152.4 (145-161)","176.9 (169-186)","329.3 (318-341)","156.7 (150-165)","161 (155-167)","317.7 (309-328)","144.5 (134-157)","149.7 (138-164)","294.2 (278-313)","166.9 (162-172)","184.9 (180-191)","351.8 (345-359)","168.7 (161-178)","194.5 (183-208)","363.2 (349-379)","192.4 (183-203)","226.1 (214-241)","418.5 (403-436)","207.4 (198-218)","213.4 (205-223)","420.8 (408-435)","192 (181-205)","183 (175-193)","375 (361-391)","149.9 (138-165)","172.8 (161-188)","322.8 (305-343)"
