"","F","M","Total"
"Dalarna","28.6 (24-35)","24.5 (21-28)","53.1 (47-60)"
"Gävleborg","18.3 (14-23)","20.7 (18-24)","39 (34-45)"
"Jämtland","131.1 (118-146)","83.2 (77-91)","214.3 (200-230)"
"Norrbotten","124.4 (112-140)","74.4 (67-84)","198.8 (184-216)"
"Stockholm","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)"
"Uppsala","1.2 (0-4)","1.6 (0-4)","2.8 (0-6)"
"Värmland","6.3 (3-10)","5.9 (3-9)","12.2 (8-17)"
"Västerbotten","87.4 (75-101)","54.4 (50-60)","141.8 (129-157)"
"Västernorrland","17.6 (13-24)","29.7 (26-34)","47.3 (41-55)"
"Västmanland","0.7 (0-3)","0.5 (0-2)","1.2 (0-4)"
"VästraGötaland","0.3 (0-2)","0.2 (0-1)","0.4 (0-2)"
"Örebro","1.8 (1-4)","1.3 (0-3)","3.1 (1-6)"
"Total","417.6 (389-450)","296.5 (284-312)","714.1 (682-749)"
