"","Females","Males","Total"
"Total","235.9 (225-249)","253.6 (241-268)","489.5 (472-509)"
"Norway","51.2 (44-59)","40.2 (36-45)","91.3 (83-101)"
"Region 2","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)"
"Region 3","0.9 (0-3)","0.7 (0-2)","1.6 (0-4)"
"Region 4","12.8 (10-16)","14.7 (12-18)","27.5 (23-32)"
"Region 5","35.8 (30-42)","23.4 (20-28)","59.2 (52-67)"
"Region 6","1.5 (0-5)","1.3 (1-3)","2.8 (1-6)"
"Sweden","184.7 (175-196)","213.4 (201-228)","398.1 (381-417)"
"Nordre","5.6 (2-10)","5.5 (2-10)","11.1 (6-17)"
"Jämtland","5 (2-9)","4.2 (1-8)","9.1 (5-15)"
"Västerbotten","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","0.6 (0-2)","1.3 (0-4)","1.9 (0-5)"
"Midtre","159.1 (150-169)","184.6 (174-197)","343.7 (329-359)"
"Örebro","23 (19-28)","36.1 (31-42)","59.1 (52-66)"
"Dalarna","37.1 (32-43)","37.7 (32-45)","74.8 (67-83)"
"Gävleborg","25.9 (22-30)","25.5 (22-30)","51.4 (46-57)"
"Stockholm","2.9 (1-5)","2.3 (1-4)","5.2 (3-8)"
"Uppsala","5.4 (4-7)","6.6 (6-9)","12 (10-15)"
"Värmland","47.4 (41-54)","54.1 (48-60)","101.6 (93-111)"
"Västmanland","10.2 (7-14)","13 (9-17)","23.1 (18-29)"
"VästraGötaland","7.4 (4-11)","9.1 (6-13)","16.5 (12-22)"
"Søndre","20 (16-25)","23.4 (19-28)","43.4 (38-50)"
"Östergötland","4.2 (3-6)","5.8 (5-8)","10.1 (8-13)"
"Blekinge","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","0.2 (0-1)","0.4 (0-2)","0.6 (0-2)"
"Jönköping","4.3 (2-7)","4.1 (2-6)","8.4 (5-12)"
"Kalmar","0.2 (0-1)","0.3 (0-2)","0.6 (0-2)"
"Kronoberg","0.3 (0-2)","1.4 (1-3)","1.7 (1-4)"
"Södermanland","9.2 (7-11)","8.9 (7-12)","18.2 (15-22)"
"Skåne","1.3 (1-3)","2.4 (2-4)","3.7 (3-6)"
