"","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022"
"Total","384.4 (348-447)","420.1 (393-452)","360 (345-379)","408 (399-418)","410.3 (403-419)","372.3 (357-389)","433.5 (427-441)","445.6 (433-461)","489.5 (472-509)"
"Norway","67.2 (55-82)","72.1 (62-84)","69.5 (65-75)","82.1 (75-90)","94.4 (87-103)","79.6 (74-86)","85.2 (78-93)","89.2 (82-97)","91.3 (83-101)"
"Region 2","2.1 (1-5)","0.4 (0-2)","0.2 (0-1)","0.6 (0-2)","0.7 (0-3)","0.8 (0-2)","0.9 (0-3)","0.3 (0-2)","0.3 (0-2)"
"Region 3","4.8 (2-9)","2.8 (0-6)","0.5 (0-2)","1.1 (0-3)","1.6 (0-5)","0.6 (0-3)","2.7 (1-5)","1.2 (0-4)","1.6 (0-4)"
"Region 4","9.9 (6-15)","7.2 (4-11)","11.7 (9-15)","16.2 (13-20)","22.1 (18-26)","24.8 (21-29)","28.1 (24-33)","25.2 (21-30)","27.5 (23-32)"
"Region 5","46 (37-56)","58.7 (51-67)","56.6 (53-61)","63.2 (57-70)","68.5 (63-75)","51.6 (47-57)","51.3 (46-57)","61.5 (55-68)","59.2 (52-67)"
"Region 6","4.4 (1-9)","3 (0-7)","0.5 (0-2)","1 (0-3)","1.4 (0-4)","1.7 (1-4)","2.3 (1-5)","1 (0-3)","2.8 (1-6)"
"Sweden","317.2 (285-370)","347.9 (323-379)","290.5 (275-309)","325.9 (316-336)","315.9 (308-325)","292.6 (277-309)","348.3 (342-355)","356.4 (343-371)","398.1 (381-417)"
"Nordre","26.3 (18-38)","23 (15-32)","19.4 (14-26)","17.2 (12-23)","7.9 (4-13)","15.9 (10-22)","16.5 (13-21)","16.7 (12-22)","11.1 (6-17)"
"Jämtland","19 (12-28)","17.7 (11-25)","15.2 (10-21)","14.7 (10-20)","7.2 (4-12)","13.2 (9-19)","15.6 (12-20)","15 (11-20)","9.1 (5-15)"
"Västerbotten","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","7.3 (4-12)","5.3 (2-10)","4.2 (1-8)","2.5 (1-5)","0.7 (0-3)","2.6 (0-6)","0.9 (0-3)","1.7 (0-5)","1.9 (0-5)"
"Midtre","270.3 (246-307)","310.3 (289-334)","262.5 (249-278)","298.5 (289-308)","288.6 (281-297)","265.1 (251-280)","311.1 (305-318)","308.7 (296-322)","343.7 (329-359)"
"Örebro","32.5 (27-39)","50.6 (41-61)","29.9 (23-38)","39.6 (35-45)","35.5 (31-40)","39.6 (33-47)","50 (45-55)","47.5 (41-55)","59.1 (52-66)"
"Dalarna","66.7 (56-80)","72.4 (62-84)","75.4 (67-85)","80.9 (74-88)","63.6 (58-70)","57.4 (49-67)","68.5 (64-74)","66.6 (59-75)","74.8 (67-83)"
"Gävleborg","23.9 (17-32)","28.8 (22-37)","39.3 (33-46)","50.4 (45-56)","54.7 (50-59)","45.8 (39-53)","69.6 (65-74)","62.3 (57-68)","51.4 (46-57)"
"Stockholm","3.4 (0-7)","3.5 (1-6)","4.1 (2-6)","2.5 (2-4)","4.3 (2-6)","2.1 (0-5)","3.4 (1-5)","7.2 (4-11)","5.2 (3-8)"
"Uppsala","4.2 (1-9)","4.2 (1-8)","4.1 (1-7)","5.4 (3-9)","8.4 (6-12)","6.5 (4-10)","4.8 (3-7)","7.4 (5-10)","12 (10-15)"
"Värmland","109 (97-124)","115.5 (103-129)","88.3 (80-97)","89 (81-97)","87.9 (82-94)","85.7 (77-95)","82.4 (77-88)","80.8 (72-90)","101.6 (93-111)"
"Västmanland","16.9 (12-23)","19.7 (15-25)","14.3 (10-19)","25.9 (23-30)","26.6 (23-30)","17.1 (12-23)","27.1 (23-32)","19.9 (15-25)","23.1 (18-29)"
"VästraGötaland","13.6 (8-20)","15.5 (11-21)","7.3 (4-11)","4.7 (2-9)","7.7 (4-11)","10.9 (7-15)","5.3 (3-8)","16.8 (12-22)","16.5 (12-22)"
"Søndre","20.6 (12-31)","14.6 (8-22)","8.6 (4-15)","10.1 (7-14)","19.4 (17-22)","11.7 (7-17)","20.6 (18-24)","31 (26-37)","43.4 (38-50)"
"Östergötland","3.2 (0-7)","2.2 (0-5)","1.2 (0-4)","2.1 (1-4)","3.3 (3-5)","3.6 (2-6)","9.8 (9-11)","7.5 (6-10)","10.1 (8-13)"
"Blekinge","0.6 (0-2)","0.5 (0-2)","0.3 (0-2)","1.1 (1-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","1.3 (0-4)","1 (0-3)","0.4 (0-2)","0.3 (0-2)","0.1 (0-1)","0.3 (0-2)","0.1 (0-1)","1.3 (1-3)","0.6 (0-2)"
"Jönköping","3.5 (1-7)","3.1 (1-6)","1.9 (1-4)","0.6 (0-3)","0.3 (0-2)","0.9 (0-3)","1.3 (0-3)","2.2 (1-5)","8.4 (5-12)"
"Kalmar","2.2 (0-6)","1.4 (0-4)","0.7 (0-3)","0.3 (0-2)","1 (0-2)","1.5 (1-3)","0.4 (0-2)","1.4 (1-3)","0.6 (0-2)"
"Kronoberg","2.6 (0-6)","2.4 (0-5)","1.3 (0-4)","1.3 (1-3)","0.4 (0-2)","0.6 (0-2)","0.6 (0-2)","1.5 (1-3)","1.7 (1-4)"
