"","2013/2014","2013/2014","2013/2014","2014/2015","2014/2015","2014/2015","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Total","155.8 (139-177)","228.6 (198-281)","384.4 (348-447)","195 (178-216)","225.1 (205-250)","420.1 (393-452)","156.3 (147-169)","203.7 (192-218)","360 (345-379)","194 (188-201)","214 (208-221)","408 (399-418)","205.5 (200-212)","204.8 (200-210)","410.3 (403-419)","179.5 (170-192)","192.7 (182-206)","372.3 (357-389)","207.1 (203-213)","226.3 (222-232)","433.5 (427-441)","205.9 (198-216)","239.7 (230-252)","445.6 (433-461)","235.9 (225-249)","253.6 (241-268)","489.5 (472-509)"
"Norway","23.2 (17-31)","43.9 (34-56)","67.2 (55-82)","30.3 (25-37)","41.8 (34-52)","72.1 (62-84)","28 (25-32)","41.5 (38-46)","69.5 (65-75)","42.9 (38-48)","39.2 (34-45)","82.1 (75-90)","50.2 (45-57)","44.2 (39-50)","94.4 (87-103)","34 (29-39)","45.6 (42-50)","79.6 (74-86)","41.2 (36-47)","44 (40-49)","85.2 (78-93)","38.3 (33-44)","50.9 (46-56)","89.2 (82-97)","51.2 (44-59)","40.2 (36-45)","91.3 (83-101)"
"Region 2","0.2 (0-1)","1.9 (1-4)","2.1 (1-5)","0.1 (0-1)","0.3 (0-2)","0.4 (0-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)","0.3 (0-2)","0.4 (0-2)","0.7 (0-3)","0.8 (0-2)","0 (0-1)","0.8 (0-2)","0.3 (0-2)","0.6 (0-2)","0.9 (0-3)","0.3 (0-2)","0 (0-1)","0.3 (0-2)","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)"
"Region 3","1 (0-3)","3.8 (1-7)","4.8 (2-9)","0.8 (0-3)","2.1 (0-5)","2.8 (0-6)","0.3 (0-2)","0.1 (0-1)","0.5 (0-2)","0.5 (0-2)","0.5 (0-2)","1.1 (0-3)","0.9 (0-3)","0.8 (0-3)","1.6 (0-5)","0.4 (0-2)","0.2 (0-1)","0.6 (0-3)","0.6 (0-2)","2.1 (1-4)","2.7 (1-5)","0.9 (0-3)","0.4 (0-2)","1.2 (0-4)","0.9 (0-3)","0.7 (0-2)","1.6 (0-4)"
"Region 4","3.9 (2-7)","5.9 (3-10)","9.9 (6-15)","2.8 (2-5)","4.4 (2-8)","7.2 (4-11)","5 (4-7)","6.8 (5-9)","11.7 (9-15)","8.3 (6-11)","8 (6-11)","16.2 (13-20)","9.7 (7-13)","12.4 (10-15)","22.1 (18-26)","10.4 (7-14)","14.4 (12-17)","24.8 (21-29)","12.8 (10-16)","15.3 (12-18)","28.1 (24-33)","14.8 (12-18)","10.3 (7-13)","25.2 (21-30)","12.8 (10-16)","14.7 (12-18)","27.5 (23-32)"
"Region 5","17.1 (12-23)","28.9 (22-37)","46 (37-56)","25.7 (21-31)","33 (27-40)","58.7 (51-67)","22.4 (21-25)","34.2 (31-38)","56.6 (53-61)","33.4 (29-38)","29.8 (26-35)","63.2 (57-70)","38.5 (34-44)","30 (26-34)","68.5 (63-75)","22.1 (19-26)","29.5 (26-33)","51.6 (47-57)","26.7 (23-31)","24.6 (21-28)","51.3 (46-57)","21.8 (18-26)","39.7 (35-44)","61.5 (55-68)","35.8 (30-42)","23.4 (20-28)","59.2 (52-67)"
"Region 6","1 (0-3)","3.4 (0-8)","4.4 (1-9)","0.9 (0-3)","2.1 (0-6)","3 (0-7)","0.3 (0-2)","0.2 (0-2)","0.5 (0-2)","0.4 (0-2)","0.6 (0-2)","1 (0-3)","0.7 (0-3)","0.6 (0-3)","1.4 (0-4)","0.3 (0-2)","1.4 (1-3)","1.7 (1-4)","0.7 (0-3)","1.5 (1-3)","2.3 (1-5)","0.6 (0-3)","0.4 (0-2)","1 (0-3)","1.5 (0-5)","1.3 (1-3)","2.8 (1-6)"
"Sweden","132.6 (117-151)","184.7 (159-228)","317.2 (285-370)","164.6 (150-184)","183.3 (165-206)","347.9 (323-379)","128.3 (119-140)","162.2 (150-176)","290.5 (275-309)","151.1 (145-158)","174.8 (167-183)","325.9 (316-336)","155.3 (149-163)","160.6 (155-166)","315.9 (308-325)","145.5 (136-157)","147.1 (136-160)","292.6 (277-309)","166 (162-170)","182.3 (178-187)","348.3 (342-355)","167.6 (159-177)","188.9 (178-201)","356.4 (343-371)","184.7 (175-196)","213.4 (201-228)","398.1 (381-417)"
