"","Females","Males","Total"
"Total","632.3 (586-680)","448.6 (422-477)","1081 (1029-1137)"
"Norway","236.3 (221-253)","148.3 (139-159)","384.6 (366-403)"
"Region 1","7 (3-12)","4.5 (1-9)","11.6 (6-18)"
"Region 2","4 (1-8)","1.6 (0-4)","5.7 (2-10)"
"Region 3","18.2 (14-22)","14.4 (12-17)","32.6 (28-38)"
"Region 4","1 (0-3)","0.7 (0-3)","1.8 (0-5)"
"Region 5","44.7 (39-51)","36.5 (33-41)","81.2 (75-89)"
"Region 6","56.2 (50-63)","36.2 (32-41)","92.5 (84-101)"
"Region 7","43.2 (39-47)","28.8 (25-33)","72 (66-78)"
"Region 8","61.8 (55-70)","25.5 (22-30)","87.3 (79-96)"
"Sweden","396 (358-437)","300.3 (276-325)","696.4 (652-742)"
"Nordre","330.6 (297-368)","235.7 (212-257)","566.3 (527-609)"
"Jämtland","121.5 (107-135)","87 (79-96)","208.5 (193-224)"
"Norrbotten","111.2 (90-130)","72.7 (55-91)","183.8 (157-211)"
"Västerbotten","71.3 (60-84)","50.6 (44-58)","121.8 (108-137)"
"Västernorrland","26.7 (20-34)","25.5 (21-30)","52.2 (44-61)"
"Midtre","65.1 (56-76)","64.4 (56-74)","129.5 (117-143)"
"Dalarna","34.9 (30-41)","26.8 (23-32)","61.7 (55-69)"
"Gävleborg","17.7 (14-22)","22.1 (19-26)","39.8 (34-46)"
"Örebro","1.9 (0-5)","2.5 (0-6)","4.4 (1-9)"
"Stockholm","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)"
"Uppsala","1.5 (0-4)","1.7 (0-4)","3.2 (0-7)"
"Värmland","7.3 (4-12)","9.6 (6-14)","16.9 (11-23)"
"Västmanland","0.9 (0-3)","0.9 (0-3)","1.7 (0-5)"
"VästraGötaland","0.8 (0-3)","0.7 (0-3)","1.6 (0-4)"
"SÃ¸ndre","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)"
"Östergötland","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)"
"Södermanland","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)"
